date,duration,disaster,claims,total_cost,losses_per_day,provinces
2023-08-27,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,2,816.0,816.0,['Girona']
2023-04-29,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,760.0,760.0,['A Coruna']
2023-01-20,1,CAUSAS NATURALES/EMBATE DE MAR,1,744.0,744.0,['Tarragona']
2023-01-01,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,726.0,726.0,['Illes Balears']
2023-01-01,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,630.0,630.0,['A Coruna']
2023-02-13,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,594.0,594.0,['A Coruna']
2023-05-07,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,566.0,566.0,['Granada']
2023-09-01,1,CAUSAS NATURALES/EMBATE DE MAR,1,536.0,536.0,['Alicante']
2023-04-06,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,510.0,510.0,['A Coruna']
2023-04-19,1,CAUSAS NATURALES/EMBATE DE MAR,1,413.0,413.0,['Huelva']
2023-02-25,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,373.0,373.0,['Toledo']
2023-12-08,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1,351.0,351.0,['Granada']
2023-12-27,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1,220.0,220.0,['Lugo']
2023-07-26,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,193.0,193.0,['Alicante']
2023-02-15,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,192.0,192.0,['Cantabria']
2023-08-12,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,169.0,169.0,['La Rioja']
2023-01-09,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,168.0,168.0,['Guadalajara']
2023-09-30,1,CAUSAS NATURALES/EMBATE DE MAR,1,150.0,150.0,['Huelva']
2023-12-27,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1,149.0,149.0,['Bizkaia']
2023-02-08,1,CAUSAS NATURALES/EMBATE DE MAR,1,112.0,112.0,['Alicante']
2023-10-28,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,82.0,82.0,['Tarragona']
2023-08-06,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,82.0,82.0,['Madrid']
2023-03-27,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1,46.0,46.0,['A Coruna']
2023-12-21,1,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1,0.0,0.0,['Cantabria']
