,date,disaster,province,total_cost,claims,duration,losses_day
159,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,22865.0,7,3,7621.666666666667
167,2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,1182323.0,397,8,147790.375
168,2023-09-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,98.0,1,1,98.0
169,2023-10-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,1505.0,1,1,1505.0
170,2023-10-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,270.0,1,1,270.0
171,2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,390.0,1,1,390.0
174,2023-10-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,19439.0,9,3,6479.666666666667
176,2023-11-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,1851.0,3,2,925.5
177,2023-11-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,1105.0,1,1,1105.0
178,2023-11-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,1124.0,1,1,1124.0
179,2023-11-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,4663.0,1,1,4663.0
180,2023-01-01,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,6715.0,13,1,6715.0
183,2023-01-09,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,1950.0,5,3,650.0
193,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,879819.0,1049,10,87981.9
194,2023-03-08,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,2459.0,4,1,2459.0
195,2023-03-10,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,1128.0,3,1,1128.0
197,2023-03-14,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,4493.0,12,2,2246.5
198,2023-03-30,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,746.0,1,1,746.0
199,2023-09-15,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,849.0,1,1,849.0
207,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,323520.0,439,8,40440.0
216,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Asturias,2650646.0,3427,9,294516.22222222225
218,2023-05-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Avila,20634.0,9,2,10317.0
227,2023-06-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Avila,119670.0,33,9,13296.666666666666
229,2023-06-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Avila,4950.0,2,2,2475.0
230,2023-06-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Avila,1221.0,1,1,1221.0
231,2023-06-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Avila,192.0,1,1,192.0
236,2023-09-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Avila,315656.0,69,5,63131.2
237,2023-11-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Avila,702.0,1,1,702.0
239,2023-01-17,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Avila,3582.0,3,2,1791.0
240,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Avila,832.0,1,1,832.0
246,2023-10-22,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Avila,3035.0,7,6,505.8333333333333
251,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Avila,7528.0,14,5,1505.6
252,2023-05-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,56992.0,30,1,56992.0
253,2023-05-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,1301.0,2,1,1301.0
254,2023-06-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,9753.0,5,1,9753.0
255,2023-06-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Badajoz,2909.0,1,1,2909.0
