,date,disaster,province,total_cost,claims,postal_codes,duration,losses_day
1467,2023-10-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,6848261.0,806,"[28691, 28180, 28702, 28703, 28706, 28707, 28708, 28710, 28200, 28729, 28220, 28221, 28223, 28224, 28229, 28232, 28750, 28760, 28248, 28250, 28770, 28801, 28290, 28803, 28804, 28802, 28806, 28807, 28296, 28810, 28812, 28813, 28814, 28815, 28816, 28821, 28822, 28320, 28840, 28330, 28850, 28340, 28341, 28860, 28863, 28864, 28880, 28890, 28891, 28901, 28905, 28906, 28907, 28914, 28918, 28919, 28921, 28922, 28923, 28924, 28925, 28932, 28933, 28934, 28935, 28936, 28937, 28938, 28939, 28420, 28941, 28942, 28943, 28945, 28946, 28947, 28950, 28970, 28971, 28978, 28982, 28990, 28500, 28000, 28001, 28514, 28002, 28512, 28005, 28008, 28521, 28522, 28011, 28010, 28009, 28523, 28015, 28016, 28019, 28021, 28022, 28023, 28024, 28025, 28026, 28027, 28028, 28029, 28031, 28032, 28034, 28035, 28037, 28038, 28039, 28041, 28042, 28043, 28045, 28047, 28049, 28050, 28051, 28052, 28600, 28607, 28609, 28100, 28108, 28620, 28110, 28109, 28130, 28140, 28660, 28150, 28670]",6,1141376.8333333333
1469,2023-10-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,5578.0,2,"[28971, 28045]",2,2789.0
1471,2023-10-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,15230.0,2,"[28850, 28223]",2,7615.0
1475,2023-11-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,57144.0,14,"[28320, 28100, 28904, 28970, 28907, 28939, 28942, 28943, 28945, 28946, 28023, 28991]",4,14286.0
1476,2023-11-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,3084.0,1,[28935],1,3084.0
1478,2023-11-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,412.0,2,"[28019, 28043]",2,206.0
1479,2023-11-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,44261.0,1,[28935],1,44261.0
1480,2023-11-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,939.0,2,"[28921, 28014]",1,939.0
1482,2023-12-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,1622579.0,131,"[28033, 28931, 28042, 28941, 28942, 28814, 28816, 28049, 28690, 28822, 28701, 28981, 28343, 28860, 28862, 28991, 28864, 28607, 28863, 28023, 28100, 28222, 28110, 28120, 28510, 28514, 28008, 28012, 28014, 28019, 28919, 28921]",2,811289.5
1483,2023-12-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,70.0,1,[28902],1,70.0
1484,2023-12-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,19038.0,1,[28110],1,19038.0
1485,2023-12-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Madrid,7144.0,1,[28909],1,7144.0
1495,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Madrid,421074.0,572,"[28935, 28296, 28297, 28430, 28440, 28190, 28191, 28450, 28707, 28200, 28972, 28460, 28720, 28210, 28470, 28729, 28730, 28737, 28739, 28740, 28742, 28743, 28490, 28491, 28492, 28752, 28120, 28410, 28770, 28791, 28792, 28793, 28794, 28411, 28412, 28413]",10,42107.4
1500,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Madrid,228198.0,285,"[28296, 28297, 28430, 28440, 28450, 28707, 28460, 28210, 28850, 28470, 28730, 28737, 28739, 28740, 28743, 28490, 28491, 28492, 28749, 28754, 28120, 28770, 28791, 28792, 28793, 28410, 28411, 28412, 28413]",5,45639.6
1502,2023-02-11,CAUSAS NATURALES/EMBATE DE MAR,Malaga,117617.0,7,"[29601, 29640, 29740, 29680, 29016, 29693]",2,58808.5
1505,2023-02-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Malaga,425166.0,25,"[29120, 29670, 29640, 29003, 29679, 29650, 29651, 29688]",3,141722.0
1506,2023-05-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Malaga,4355.0,1,[29651],1,4355.0
1508,2023-05-22,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Malaga,2203.0,3,"[29601, 29620, 29639]",2,1101.5
1509,2023-05-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Malaga,229.0,1,[29100],1,229.0
